time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-13T12:59:28.880Z,34.109333,-117.5091629,16.34,1.65,ml,76,61,0.09803,0.18,ci,ci37241959,2015-09-13T13:01:32.044Z,"5km WNW of Fontana, California",earthquake
2015-09-13T12:55:26.000Z,63.3763,-149.5521,88.4,1.3,ml,,,,0.75,ak,ak11701086,2015-09-13T13:16:06.179Z,"30km W of Cantwell, Alaska",earthquake
2015-09-13T12:42:43.640Z,37.3995018,-119.0273361,1.51,2.54,md,24,171,0.1995,0.06,nc,nc72524806,2015-09-13T20:24:22.198Z,"28km SSW of Mammoth Lakes, California",earthquake
2015-09-13T12:41:32.050Z,33.3506667,-116.8075,10.283,0.42,ml,15,114,0.04625,0.18,ci,ci37241943,2015-09-13T12:45:30.282Z,"5km E of Palomar Observatory, California",earthquake
2015-09-13T12:40:26.950Z,40.3764992,-124.5628357,22.34,2.41,md,20,235,0.2197,0.1,nc,nc72524801,2015-09-13T12:42:01.850Z,"33km SW of Ferndale, California",earthquake
2015-09-13T12:40:26.000Z,52.4985,-174.5828,170.8,2.6,ml,,,,0.31,ak,ak11701085,2015-09-13T20:43:03.121Z,"42km NW of Atka, Alaska",earthquake
2015-09-13T12:39:29.250Z,33.6286667,-116.677,14.835,1.14,ml,46,44,0.05496,0.17,ci,ci37241935,2015-09-13T12:50:30.050Z,"8km N of Anza, California",earthquake
2015-09-13T12:39:23.370Z,33.6355,-116.6895,30.762,0.74,ml,22,50,0.06296,0.24,ci,ci37241927,2015-09-13T12:43:24.001Z,"9km N of Anza, California",earthquake
2015-09-13T12:37:19.791Z,38.2252,-118.7402,10.1122,0.07,ml,6,251.05,0.187,0.1716,nn,nn00510486,2015-09-13T23:17:40.402Z,"34km SSW of Hawthorne, Nevada",earthquake
2015-09-13T12:28:08.000Z,63.1157,-149.0417,71.1,1.8,ml,,,,0.58,ak,ak11700995,2015-09-13T12:46:57.926Z,"31km S of Cantwell, Alaska",earthquake
2015-09-13T12:22:16.300Z,33.6308333,-116.6748333,14.325,0.59,ml,25,67,0.05708,0.09,ci,ci37241919,2015-09-13T12:25:55.787Z,"8km N of Anza, California",earthquake
2015-09-13T12:10:51.000Z,60.2873,-143.0748,0,1,ml,,,,0.48,ak,ak11700993,2015-09-13T12:27:29.563Z,"43km NW of Cape Yakataga, Alaska",earthquake
2015-09-13T11:56:38.383Z,39.6558,-119.8883,6.3019,0.07,ml,9,72.24,0.074,0.0794,nn,nn00510485,2015-09-13T23:11:26.563Z,"4km WNW of Lemmon Valley, Nevada",earthquake
2015-09-13T11:37:59.000Z,51.8284,-173.9337,163.9,2.7,ml,,,,0.25,ak,ak11700992,2015-09-13T19:40:44.297Z,"44km SSE of Atka, Alaska",earthquake
2015-09-13T11:36:57.270Z,33.5916667,-116.8238333,1.098,-0.16,ml,11,94,0.04315,0.23,ci,ci37241911,2015-09-13T11:41:10.147Z,"14km WNW of Anza, California",earthquake
2015-09-13T11:30:10.000Z,62.9478,-150.6577,1.2,1.3,ml,,,,0.49,ak,ak11700990,2015-09-13T11:47:25.842Z,"75km NNW of Talkeetna, Alaska",earthquake
2015-09-13T11:28:26.520Z,34.0446667,-116.9618333,11.414,0.81,ml,12,123,0.05331,0.09,ci,ci37241903,2015-09-13T11:32:17.576Z,"8km E of Yucaipa, California",earthquake
2015-09-13T11:10:49.310Z,45.3198333,-121.6926667,10.083,0.34,md,7,141,0.0202,0.13,uw,uw61064902,2015-09-13T15:55:43.026Z,"22km E of Mount Hood Village, Oregon",earthquake
2015-09-13T11:08:18.000Z,65.045,-151.9514,2.1,1.3,ml,,,,0.63,ak,ak11700987,2015-09-13T11:28:02.983Z,"15km SSE of Tanana, Alaska",earthquake
2015-09-13T11:07:05.000Z,61.4806,-140.6659,0,1.4,ml,,,,0.5,ak,ak11700983,2015-09-13T11:28:02.377Z,"184km NNE of Cape Yakataga, Alaska",earthquake
2015-09-13T11:04:23.000Z,59.1712,-151.8116,65.8,1.6,ml,,,,0.15,ak,ak11700982,2015-09-13T18:33:29.003Z,"54km SSW of Homer, Alaska",earthquake
2015-09-13T10:51:46.348Z,38.5007,-118.5079,3.4532,-0.28,ml,5,175.48,0.128,0.1045,nn,nn00510481,2015-09-13T22:10:00.581Z,"10km ESE of Hawthorne, Nevada",earthquake
2015-09-13T10:16:30.200Z,17.9186,-67.0132,14,1.5,Md,3,327.6,0.05839049,0.11,pr,pr15256002,2015-09-13T11:07:42.656Z,"7km SSE of La Parguera, Puerto Rico",earthquake
2015-09-13T10:13:19.000Z,60.3068,-141.2267,18.3,1.3,ml,,,,0.31,ak,ak11700893,2015-09-13T10:23:58.113Z,"71km ENE of Cape Yakataga, Alaska",earthquake
2015-09-13T10:11:14.460Z,38.0368347,-122.2556686,6.89,1.79,md,27,48,0.03918,0.08,nc,nc72524766,2015-09-13T10:14:33.068Z,"1km ENE of Rodeo, California",earthquake
2015-09-13T10:05:08.130Z,32.8361667,-115.5985,16.356,1.18,ml,9,108,0.07247,0.17,ci,ci37241895,2015-09-13T10:08:54.597Z,"3km WSW of Imperial, California",earthquake
2015-09-13T09:58:51.000Z,63.2897,-147.4679,54.9,1.7,ml,,,,0.72,ak,ak11700890,2015-09-13T10:14:31.665Z,"75km E of Cantwell, Alaska",earthquake
2015-09-13T09:52:09.277Z,38.5074,-118.5072,6.4214,0.33,ml,5,174.83,0.122,0.0868,nn,nn00510480,2015-09-13T22:03:50.052Z,"10km E of Hawthorne, Nevada",earthquake
2015-09-13T09:50:28.390Z,47.5773333,-123.9685,25.153,2.18,ml,16,96,0.1236,0.22,uw,uw61064897,2015-09-13T16:22:49.240Z,"15km NW of Quinault Census Designated Place, Washington",earthquake
2015-09-13T09:41:38.220Z,37.5460014,-118.8753357,9.41,1.08,md,10,175,0.05728,0.01,nc,nc72524756,2015-09-13T09:43:15.470Z,"14km SE of Mammoth Lakes, California",earthquake
2015-09-13T09:25:54.780Z,18.9303341,-155.5418396,37.02,2.31,md,55,245,0.1289,0.15,hv,hv61037336,2015-09-13T09:29:26.530Z,"28km ESE of Hawaiian Ocean View, Hawaii",earthquake
2015-09-13T09:15:29.520Z,38.8408318,-122.8281631,2.71,0.9,md,19,55,0.006142,0.02,nc,nc72524731,2015-09-13T09:17:05.310Z,"9km WNW of Cobb, California",earthquake
2015-09-13T08:27:17.340Z,25.348,-109.4018,10,5.2,mb,,115,3.713,1.68,us,us20003j54,2015-09-13T16:30:29.807Z,"45km SW of Topolobampo, Mexico",earthquake
2015-09-13T08:18:31.000Z,64.2482,-148.6552,9.5,0.8,ml,,,,0.41,ak,ak11700729,2015-09-13T08:28:02.871Z,"42km SSE of North Nenana, Alaska",earthquake
2015-09-13T08:17:09.910Z,18.939333,-155.5406647,38.91,3.03,ml,55,241,0.1268,0.15,hv,hv61037301,2015-09-13T08:45:09.222Z,"27km ESE of Hawaiian Ocean View, Hawaii",earthquake
2015-09-13T08:16:20.730Z,18.934166,-155.5378265,39.31,2.85,ml,40,243,0.1311,0.15,hv,hv61037296,2015-09-13T16:14:37.863Z,"28km ESE of Hawaiian Ocean View, Hawaii",earthquake
2015-09-13T08:14:12.710Z,25.1556,-109.3772,10,6.6,mwp,,77,3.781,0.83,us,us20003j4u,2015-09-14T03:05:37.524Z,"59km SSW of Topolobampo, Mexico",earthquake
2015-09-13T07:59:16.200Z,52.9557,-174.3749,179.05,4.7,mb,,79,0.763,0.59,us,us20003j4s,2015-09-13T16:01:52.391Z,"85km N of Atka, Alaska",earthquake
2015-09-13T07:57:40.510Z,25.1005,-109.1759,20.83,5.3,mb,,172,3.65,0.91,us,us20003j4t,2015-09-14T00:57:16.000Z,"56km SSW of Topolobampo, Mexico",earthquake
2015-09-13T07:56:54.110Z,33.4801667,-116.5658333,9.761,0.79,ml,27,78,0.03367,0.11,ci,ci37241871,2015-09-13T08:00:49.216Z,"13km SE of Anza, California",earthquake
2015-09-13T07:51:12.280Z,45.0579,91.4293,10,4.8,mb,,65,6.606,0.58,us,us20003j4p,2015-09-13T15:53:55.382Z,"106km SW of Altay sumu, Mongolia",earthquake
