"20140418","MIL","PIT",5,3
"20140418","SFN","SDN",1,2
"20140418","SLN","WAS",1,3
"20140419","BAL","BOS",2,4
"20140419","TOR","CLE",5,0
"20140419","ANA","DET",2,5
"20140419","MIN","KCA",4,5
"20140419","HOU","OAK",3,4
"20140419","NYA","TBA",1,16
"20140419","CHA","TEX",3,6
"20140419","CIN","CHN",4,8
"20140419","PHI","COL",1,3
"20140419","ARI","LAN",6,8
"20140419","SEA","MIA",0,7
"20140419","ATL","NYN",7,5
"20140419","MIL","PIT",8,7
"20140419","SFN","SDN",1,3
"20140419","SLN","WAS",4,3
"20140420","BAL","BOS",5,6
"20140420","TOR","CLE",4,6
"20140420","ANA","DET",1,2
"20140420","MIN","KCA",8,3
"20140420","HOU","OAK",1,4
"20140420","NYA","TBA",5,1
"20140420","CHA","TEX",16,2
"20140420","CIN","CHN",8,2
"20140420","PHI","COL",10,9
"20140420","ARI","LAN",1,4
"20140420","SEA","MIA",2,3
"20140420","ATL","NYN",3,4
"20140420","MIL","PIT",3,2
"20140420","SFN","SDN",4,3
"20140420","SLN","WAS",2,3
"20140421","BAL","BOS",7,6
"20140421","KCA","CLE",3,4
"20140421","CHA","DET",3,1
"20140421","TEX","OAK",4,3
"20140421","HOU","SEA",7,2
"20140421","MIA","ATL",2,4
"20140421","ARI","CHN",1,5
"20140421","SFN","COL",2,8
"20140421","PHI","LAN",7,0
"20140421","SDN","MIL",3,4
"20140421","SLN","NYN",0,2
"20140421","CIN","PIT",5,6
"20140421","ANA","WAS",4,2
"20140422","NYA","BOS",9,3
"20140422","KCA","CLE",8,2
"20140422","CHA","DET",6,8
"20140422","TEX","OAK",5,4
"20140422","HOU","SEA",5,2
"20140422","MIN","TBA",3,7
"20140422","BAL","TOR",3,9
"20140422","MIA","ATL",1,0
"20140422","ARI","CHN",2,9
"20140422","SFN","COL",1,2
"20140422","PHI","LAN",3,2
"20140422","SDN","MIL",2,1
"20140422","SLN","NYN",3,0
"20140422","CIN","PIT",4,1
"20140422","ANA","WAS",7,2
"20140423","NYA","BOS",1,5
"20140423","KCA","CLE",3,5
"20140423","CHA","DET",6,4
"20140423","TEX","OAK",3,0
"20140423","HOU","SEA",3,5
"20140423","MIN","TBA",6,4
"20140423","BAL","TOR",10,8
"20140423","MIA","ATL",1,3
"20140423","ARI","CHN",7,5
